id,wmi_class,wmi_scope
1,"__AbsoluteTimerInstruction
",\ROOT\Appv
2,"__ACE
",\ROOT\Appv
3,"__AggregateEvent
",\ROOT\Appv
4,"__ClassCreationEvent
",\ROOT\Appv
5,"__ClassDeletionEvent
",\ROOT\Appv
6,"__ClassModificationEvent
",\ROOT\Appv
7,"__ClassOperationEvent
",\ROOT\Appv
8,"__ClassProviderRegistration
",\ROOT\Appv
9,"__ConsumerFailureEvent
",\ROOT\Appv
10,"__Event
",\ROOT\Appv
11,"__EventConsumer
",\ROOT\Appv
12,"__EventConsumerProviderRegistration
",\ROOT\Appv
13,"__EventDroppedEvent
",\ROOT\Appv
14,"__EventFilter
",\ROOT\Appv
15,"__EventGenerator
",\ROOT\Appv
16,"__EventProviderRegistration
",\ROOT\Appv
17,"__EventQueueOverflowEvent
",\ROOT\Appv
18,"__ExtendedStatus
",\ROOT\Appv
19,"__ExtrinsicEvent
",\ROOT\Appv
20,"__FilterToConsumerBinding
",\ROOT\Appv
21,"__IndicationRelated
",\ROOT\Appv
22,"__InstanceCreationEvent
",\ROOT\Appv
23,"__InstanceDeletionEvent
",\ROOT\Appv
24,"__InstanceModificationEvent
",\ROOT\Appv
25,"__InstanceOperationEvent
",\ROOT\Appv
26,"__InstanceProviderRegistration
",\ROOT\Appv
27,"__IntervalTimerInstruction
",\ROOT\Appv
28,"__MethodInvocationEvent
",\ROOT\Appv
29,"__MethodProviderRegistration
",\ROOT\Appv
30,"__NAMESPACE
",\ROOT\Appv
31,"__NamespaceCreationEvent
",\ROOT\Appv
32,"__NamespaceDeletionEvent
",\ROOT\Appv
33,"__NamespaceModificationEvent
",\ROOT\Appv
34,"__NamespaceOperationEvent
",\ROOT\Appv
35,"__NotifyStatus
",\ROOT\Appv
36,"__NTLMUser9X
",\ROOT\Appv
37,"__ObjectProviderRegistration
",\ROOT\Appv
38,"__PARAMETERS
",\ROOT\Appv
39,"__PropertyProviderRegistration
",\ROOT\Appv
40,"__Provider
",\ROOT\Appv
41,"__ProviderRegistration
",\ROOT\Appv
42,"__QOSFailureEvent
",\ROOT\Appv
43,"__SecurityDescriptor
",\ROOT\Appv
44,"__SecurityRelatedClass
",\ROOT\Appv
45,"__SystemClass
",\ROOT\Appv
46,"__SystemEvent
",\ROOT\Appv
47,"__SystemSecurity
",\ROOT\Appv
48,"__thisNAMESPACE
",\ROOT\Appv
49,"__TimerEvent
",\ROOT\Appv
50,"__TimerInstruction
",\ROOT\Appv
51,"__TimerNextFiring
",\ROOT\Appv
52,"__Trustee
",\ROOT\Appv
53,"__Win32Provider
",\ROOT\Appv
54,"AppvClientApplication
",\ROOT\Appv
55,"AppvClientAsset
",\ROOT\Appv
56,"AppvClientConnectionGroup
",\ROOT\Appv
57,"AppvClientPackage
",\ROOT\Appv
58,"AppvPublishingServer
",\ROOT\Appv
59,"CIM_ClassCreation
",\ROOT\Appv
60,"CIM_ClassDeletion
",\ROOT\Appv
61,"CIM_ClassIndication
",\ROOT\Appv
62,"CIM_ClassModification
",\ROOT\Appv
63,"CIM_Error
",\ROOT\Appv
64,"CIM_Indication
",\ROOT\Appv
65,"CIM_InstCreation
",\ROOT\Appv
66,"CIM_InstDeletion
",\ROOT\Appv
67,"CIM_InstIndication
",\ROOT\Appv
68,"CIM_InstModification
",\ROOT\Appv
69,"MSFT_ExtendedStatus
",\ROOT\Appv
70,"MSFT_WmiError
",\ROOT\Appv
71,"WMI_extension
",\ROOT\Appv
72,"__AbsoluteTimerInstruction
",\ROOT\CIMV2
73,"__ACE
",\ROOT\CIMV2
74,"__AggregateEvent
",\ROOT\CIMV2
75,"__ClassCreationEvent
",\ROOT\CIMV2
76,"__ClassDeletionEvent
",\ROOT\CIMV2
77,"__ClassModificationEvent
",\ROOT\CIMV2
